Y,https://babel.hathitrust.org/cgi/pt?id=miun.abr1205.0001.001,https://quod.lib.umich.edu/m/moa/ABR1205.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Miscellaneous%20essays.%20By%20Archibald%20Alison.%20Re%20printed%20form%20the%20English%20originals%2C%20with%20the%20author%27s%20corrections%20for%20this%20ed.,990003832190106381,ABR1205.0001.001," Alison, Archibald, Sir, 1792-1867.","Miscellaneous essays. By Archibald Alison. Re printed form the English originals, with the author's corrections for this ed.",1860,"D. Appleton and company,","New York,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.abt6874.0001.001,https://quod.lib.umich.edu/m/moa/ABT6874.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Twelve%20years%20a%20slave.%3A%20%20Narrative%20of%20Solomon%20Northup%2C%20a%20citizen%20of%20New-York%2C%20kidnapped%20in%20Washington%20city%20in%201841%2C%20and%20rescued%20in%201853%2C%20from%20a%20cotton%20plantation%20near%20the%20Red%20River%2C%20in%20Louisiana.,990004084740106381,ABT6874.0001.001," Northup, Solomon, b. 1808.","Twelve years a slave.:  Narrative of Solomon Northup, a citizen of New-York, kidnapped in Washington city in 1841, and rescued in 1853, from a cotton plantation near the Red River, in Louisiana.",1853,Derby and Miller;,"Auburn,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.abu9581.0001.001,https://quod.lib.umich.edu/m/moa/ABU9581.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=New%20elementary%20algebra.%20Embracing%20the%20first%20principles%20of%20science.%20By%20Charles%20Davies.,990004210030106381,ABU9581.0001.001," Davies, Charles, 1798-1876.",New elementary algebra. Embracing the first principles of science. By Charles Davies.,1875,"A. S. Barnes & company,","New York,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.abx8031.0001.001,https://quod.lib.umich.edu/m/moa/ABX8031.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=East%20and%20West%2C%20poems.%3A%20%20By%20Bret%20Harte.,990004489610106381,ABX8031.0001.001," Harte, Bret, 1836-1902.","East and West, poems.:  By Bret Harte.",1871,"J.R. Osgood and company,","Boston,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.abx9006.0001.001,https://quod.lib.umich.edu/m/moa/ABX9006.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Wigwam%20and%20war-path%3A%20or%2C%20The%20royal%20chief%20in%20chains.%20By%20Hon.%20A.%20B.%20Meacham.,990004499310106381,ABX9006.0001.001," Meacham, Alfred Benjamin.","Wigwam and war-path: or, The royal chief in chains. By Hon. A. B. Meacham.",1875,"J. P. Dale and company,","Boston,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acb1363.0001.001,https://quod.lib.umich.edu/m/moa/ACB1363.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=The%20seer.,990004817840106381,ACB1363.0001.001," Hunt, Leigh.",The seer.,,1864,Boston:,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acb1363.0002.001,https://quod.lib.umich.edu/m/moa/ACB1363.0002.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=The%20seer.,990004817840106381,ACB1363.0002.001," Hunt, Leigh.",The seer.,,1864,Boston:,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0001.001,https://quod.lib.umich.edu/m/moa/ACF5938.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0001.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0002.001,https://quod.lib.umich.edu/m/moa/ACF5938.0002.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0002.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0003.001,https://quod.lib.umich.edu/m/moa/ACF5938.0003.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0003.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
