confirm?,hathi trust link,link,catalog search links,mms_id,dlxs_id,author,title,pub_date,pub_place,language
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1864.002,https://quod.lib.umich.edu/m/moa/AAF1187.1864.002/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1864.002,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1865.001,https://quod.lib.umich.edu/m/moa/AAF1187.1865.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1865.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1866.001,https://quod.lib.umich.edu/m/moa/AAF1187.1866.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1866.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1867.001,https://quod.lib.umich.edu/m/moa/AAF1187.1867.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1867.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1868.001,https://quod.lib.umich.edu/m/moa/AAF1187.1868.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1868.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1869.001,https://quod.lib.umich.edu/m/moa/AAF1187.1869.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1869.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1870.001,https://quod.lib.umich.edu/m/moa/AAF1187.1870.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1870.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1871.001,https://quod.lib.umich.edu/m/moa/AAF1187.1871.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1871.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1873.001,https://quod.lib.umich.edu/m/moa/AAF1187.1873.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1873.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1874.001,https://quod.lib.umich.edu/m/moa/AAF1187.1874.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1874.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1878.001,https://quod.lib.umich.edu/m/moa/AAF1187.1878.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1878.001,University of Michigan.,General register.,,Ann Arbor.,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.aaf1187.1879.001,https://quod.lib.umich.edu/m/moa/AAF1187.1879.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=General%20register.,990000487890106381,AAF1187.1879.001,University of Michigan.,General register.,,Ann Arbor.,eng
